628.3186	5-31
628.3186	-531
628.3186	-24-1
628.3186	-241
628.3186	2-41
628.3186	2-4-1
628.3186	-341
628.3186	3-4-1
628.3186	-34-1
628.3186	3-41
628.3186	32-1
628.3186	321
628.3186	-3-2-1
628.3186	-3-21
628.3186	-14-1
628.3186	-141
628.3186	1-4-1
628.3186	1-41
628.3186	50-1
628.3186	-501
628.3186	-50-1
628.3186	501
628.3186	-44-1
628.3186	4-41
628.3186	-441
628.3186	4-4-1
628.3186	231
628.3186	23-1
628.3186	-2-3-1
628.3186	-2-31
628.3186	-62-1
628.3186	-621
628.3186	6-2-1
628.3186	6-21
628.3186	041
628.3186	04-1
628.3186	0-4-1
628.3186	0-41
628.3186	-54-1
628.3186	5-4-1
628.3186	5-41
628.3186	-541
628.3186	-631
628.3186	6-3-1
628.3186	-63-1
628.3186	6-31
628.3186	6-1-1
628.3186	6-11
628.3186	-61-1
628.3186	-611
628.3186	511
628.3186	-5-11
628.3186	-5-1-1
628.3186	51-1
628.3186	-4-21
628.3186	42-1
628.3186	421
628.3186	-4-2-1
628.3186	141
628.3186	-1-4-1
628.3186	14-1
628.3186	-1-41
628.3186	6-41
628.3186	6-4-1
628.3186	-64-1
628.3186	-641
628.3186	-351
628.3186	3-5-1
628.3186	-35-1
628.3186	3-51
628.3186	601
628.3186	-601
628.3186	60-1
628.3186	-60-1
628.3186	33-1
628.3186	331
628.3186	-3-31
628.3186	-3-3-1
628.3186	-45-1
628.3186	4-5-1
628.3186	4-51
628.3186	-451
628.3186	2-5-1
628.3186	-251
628.3186	-25-1
628.3186	2-51
628.3186	-72-1
628.3186	7-21
628.3186	7-2-1
628.3186	-721
628.3186	-55-1
628.3186	5-51
628.3186	5-5-1
628.3186	-551
628.3186	7-31
628.3186	-731
628.3186	-73-1
628.3186	7-3-1
628.3186	1-51
628.3186	1-5-1
628.3186	-15-1
628.3186	-151
628.3186	-71-1
628.3186	7-11
628.3186	-711
628.3186	7-1-1
628.3186	-2-4-1
628.3186	24-1
628.3186	241
628.3186	-2-41
628.3187	-74-1
628.3187	-741
628.3187	7-4-1
628.3187	7-41
628.3187	6-5-1
628.3187	-65-1
628.3187	-651
628.3187	6-51
628.3187	52-1
628.3187	-5-21
628.3187	521
628.3187	-5-2-1
628.3187	0-51
628.3187	0-5-1
628.3187	05-1
628.3187	051
628.3187	-6-1-1
628.3187	-6-11
628.3187	61-1
628.3187	611
628.3187	-4-31
628.3187	-4-3-1
